1553918059476605952,-1.19213,-0.29650,-0.15055,0.99849,0.01580,-0.05100,0.01290,
1553918059676845056,-1.26898,-0.38209,-0.15465,0.99880,0.00789,-0.04688,0.01167,
1553918059876663808,-1.34676,-0.45253,-0.14786,0.99910,-0.00219,-0.04157,0.00828,
1553918060076595968,-1.41249,-0.52550,-0.14390,0.99921,-0.00740,-0.03814,0.00803,
1553918060176531200,-1.44275,-0.56249,-0.14390,0.99914,-0.01480,-0.03779,0.00811,
1553918060276731136,-1.47850,-0.60690,-0.15330,0.99917,-0.01566,-0.03656,0.00848,
1553918060376897024,-1.51568,-0.65262,-0.15762,0.99906,-0.01731,-0.03842,0.00984,
1553918060476645120,-1.55544,-0.70331,-0.16048,0.99910,-0.01595,-0.03795,0.01042,
1553918060576900096,-1.59752,-0.75809,-0.16088,0.99924,-0.01309,-0.03549,0.00956,
1553918060676641024,-1.63373,-0.80141,-0.16227,0.99925,-0.01029,-0.03600,0.00974,
1553918060776660992,-1.68477,-0.85544,-0.16898,0.99926,-0.00736,-0.03616,0.01042,
1553918060876605952,-1.73167,-0.88831,-0.17127,0.99920,-0.00532,-0.03829,0.01024,
1553918061076706816,-1.83605,-0.92452,-0.17957,0.99921,0.00349,-0.03858,0.00878,
1553918061276845824,-1.95277,-0.93946,-0.18922,0.99923,0.00261,-0.03754,0.01122,
1553918061476594944,-2.08233,-0.94594,-0.20539,0.99921,0.00294,-0.03762,0.01223,
1553918061676646912,-2.21223,-0.94946,-0.21919,0.99901,0.00242,-0.04157,0.01555,
1553918061876519936,-2.34927,-0.96761,-0.23280,0.99888,0.00489,-0.04432,0.01555,
1553918062076689920,-2.49279,-0.98285,-0.24662,0.99890,0.00220,-0.04385,0.01652,
1553918062176794112,-2.57691,-0.98775,-0.25594,0.99894,0.00308,-0.04271,0.01694,
1553918062376657920,-2.74199,-1.00311,-0.27843,0.99890,0.00198,-0.04244,0.02003,
1553918062476627200,-2.82710,-1.01396,-0.29337,0.99874,0.00020,-0.04553,0.02115,
1553918062676517120,-2.98813,-1.04746,-0.31386,0.99868,-0.00080,-0.04719,0.02006,
1553918062876539904,-3.14764,-1.07402,-0.32927,0.99891,-0.00132,-0.04202,0.02018,
1553918063076718080,-3.31374,-1.08948,-0.34507,0.99897,-0.00618,-0.03922,0.02175,
1553918063176381952,-3.40674,-1.10143,-0.34500,0.99915,-0.00622,-0.03619,0.01896,
1553918063276470016,-3.50260,-1.10417,-0.35164,0.99916,-0.00204,-0.03409,0.02244,
1553918063476492032,-3.68316,-1.11579,-0.36102,0.99933,0.00570,-0.02840,0.02228,
1553918063676526080,-3.86968,-1.12561,-0.37398,0.99927,0.00326,-0.02832,0.02558,
1553918063776564992,-3.97010,-1.13467,-0.37324,0.99928,0.00250,-0.02729,0.02640,
